219,99,238,99,238,117,219,117,Chi
240,101,257,101,257,114,240,114,em
263,99,279,99,279,115,263,115,thi
284,100,301,100,301,116,284,116,tot
299,100,326,100,326,117,299,117,nha
220,117,236,117,236,128,220,128,TM
234,131,251,131,251,143,234,143,LA
247,119,260,119,260,131,247,131,HL
276,119,291,119,291,131,276,131,TA
300,120,318,120,318,133,300,133,LQ
327,123,342,123,342,134,327,134,KC
277,144,294,144,294,157,277,157,22
299,145,310,145,310,156,299,156,05
316,143,326,143,326,156,316,156,19
149,183,174,183,174,210,149,210,Chuc
178,186,197,186,197,211,178,211,be
147,221,161,221,161,241,147,241,thi
166,221,187,221,187,243,166,243,that
193,221,220,221,220,239,193,239,khoe
223,223,241,223,241,240,223,240,nhe
145,250,168,250,168,269,145,269,Chuc
171,251,189,251,189,268,171,268,ca
190,250,210,250,210,269,190,269,nha
215,248,241,248,241,271,215,271,minh
242,252,266,252,266,270,242,270,mai
143,274,165,274,165,289,143,289,mai
169,271,190,271,190,293,169,293,ben
193,271,227,271,227,288,193,288,nhau
184,291,206,291,206,308,184,308,That
209,298,218,298,218,308,209,308,s
219,298,234,298,234,314,219,314,you
287,229,316,229,316,251,287,251,DAU
318,232,333,232,333,248,318,248,DI
338,232,369,232,369,245,338,245,NHA
373,228,399,228,399,246,373,246,MAI
286,254,313,254,313,271,286,271,CON
319,253,332,253,332,273,319,273,DI
339,250,367,250,367,271,339,271,BALI
370,253,385,253,385,266,370,266,VS
288,279,315,279,315,296,288,296,TAO
335,278,404,278,404,296,335,296,ILUTTMAB
360,198,379,198,379,212,360,212,dau
364,186,377,186,377,198,364,198,tot
379,187,396,187,396,199,379,199,nhe
414,242,426,242,426,255,414,255,To
431,243,453,243,453,256,431,256,1201
415,296,437,296,437,308,415,308,lam
414,281,428,281,428,294,414,294,DH
413,265,439,265,439,278,413,278,Chuc
431,281,444,281,444,294,431,294,nhe
440,264,462,264,462,276,440,276,crush
457,293,475,293,475,307,457,307,met
457,280,466,280,466,289,457,289,7
463,265,480,265,480,276,463,276,cua
488,280,512,280,512,288,488,288,crush
483,264,504,264,504,276,483,276,minh
508,262,522,262,522,277,508,277,dau
467,282,488,282,488,292,467,292,nam
514,278,533,278,533,289,514,289,anh
439,298,453,298,453,307,439,307,em
475,293,490,293,490,304,475,304,moi
472,335,513,335,513,347,472,347,TTH
