180,180,232,180,232,215,180,215,một
242,180,310,180,310,215,242,215,tách
320,180,373,180,373,215,320,215,có
383,180,448,180,448,215,383,215,rơi
180,220,226,220,226,255,180,255,chủ
236,220,253,220,253,255,236,255,P
263,220,318,220,318,255,263,255,tốc
328,220,362,220,362,255,328,255,ở
372,220,418,220,418,255,372,255,công
428,220,470,220,470,255,428,255,cũng
180,260,240,260,240,295,180,295,sách
250,260,307,260,307,295,250,295,thuốc
317,260,369,260,369,295,317,295,từ
379,260,454,260,454,294,379,294,thương
180,300,226,300,226,335,180,335,từng
236,300,257,300,257,335,236,335,tỉ
267,300,299,300,299,335,267,335,hội
309,300,372,300,372,335,309,335,khoáng
382,300,428,300,428,335,382,335,từ
180,340,233,340,233,375,180,375,người
243,340,273,340,273,375,243,375,tại
283,340,326,340,326,375,283,375,và
336,340,388,340,388,375,336,375,chiều
398,340,439,340,439,375,398,375,bẫy
180,380,235,380,235,415,180,415,trí
245,380,286,380,286,415,245,415,lặng
296,380,344,380,344,415,296,415,như
354,380,395,380,395,415,354,415,ngất
405,380,452,380,452,415,405,415,pháp
180,420,224,420,224,455,180,455,thế
