150,150,440,150,440,330,150,330,-
515,160,800,160,800,360,515,360,Toc
835,150,1045,150,1045,370,835,370,do
1065,155,1350,155,1350,360,1065,360,kenh
1385,145,1780,145,1780,415,1385,415,truyen
1860,170,2055,170,2055,355,1860,355,la
185,630,510,630,510,905,185,905,hieu
340,480,530,480,530,695,340,695,Do
590,670,895,670,895,855,590,855,tren
550,480,775,480,775,670,550,670,dai
795,445,1160,445,1160,720,795,720,duong
1270,475,1720,475,1720,730,1270,730,truyen
1890,465,2070,465,2070,665,1890,665,la
2130,650,2355,650,2355,835,2130,835,la
2160,470,2305,470,2305,650,2160,650,du
2275,130,2425,130,2425,305,2275,305,rap
2610,155,2855,155,2855,330,2610,330,10
2490,430,2913,430,2913,660,2490,660,300m
2405,635,2570,635,2570,795,2405,795,2
2640,610,2913,610,2913,800,2640,800,108
1505,660,2000,660,2000,890,1505,890,truyen
990,660,1390,660,1390,885,990,885,duong
235,1795,465,1795,465,1930,235,1930,co
280,1605,590,1605,590,1780,280,1780,cac
305,1455,735,1455,735,1635,305,1635,nhau
245,1285,645,1285,645,1525,245,1525,dung
175,1145,485,1145,485,1315,175,1315,13
195,985,400,985,400,1125,195,1125,12
545,980,820,980,820,1155,545,1155,Co
695,1320,985,1320,985,1535,695,1535,gui
675,1140,990,1140,990,1310,675,1310,Toc
870,970,1085,970,1085,1170,870,1170,40
1140,980,1470,980,1470,1215,1140,1215,may
1555,955,1785,955,1785,1155,1555,1155,dc
1655,1440,2010,1440,2010,1595,1655,1595,100
1700,1305,2055,1305,2055,1490,1700,1490,dem
1710,1100,2035,1100,2035,1295,1710,1295,binh
1830,910,2095,910,2095,1125,1830,1125,noi
2100,945,2425,945,2425,1140,2100,1140,vao
2485,960,2913,960,2913,1170,2485,1170,mang
1010,1155,1180,1155,1180,1325,1010,1325,do
1245,1120,1695,1120,1695,1420,1245,1420,trung
2235,1415,2635,1415,2635,1615,2235,1615,bits
2255,1275,2625,1275,2625,1500,2255,1500,phat
2235,1125,2540,1125,2540,1285,2235,1285,cua
2615,1120,2913,1120,2913,1385,2615,1385,dong
845,1770,1055,1770,1055,1940,845,1940,la
1010,1615,1240,1615,1240,1850,1010,1850,gui
1165,1430,1395,1430,1395,1610,1165,1610,la
1095,1295,1345,1295,1345,1475,1095,1475,den
1395,1290,1640,1290,1640,1485,1395,1485,bo
630,1580,915,1580,915,1855,630,1855,goi
810,1460,1025,1460,1025,1600,810,1600,va
2075,1430,2255,1430,2255,1615,2075,1615,k
1260,1785,1420,1785,1420,1950,1260,1950,L
1300,1615,1590,1615,1590,1765,1300,1765,den
1815,1620,2130,1620,2130,1770,1815,1770,tuan
2215,1780,2485,1780,2485,1965,2215,1965,bit
2180,1630,2485,1630,2485,1785,2180,1785,theo
2610,1620,2900,1620,2900,1780,2610,1780,tien
490,1810,755,1810,755,1980,490,1980,dinh
1600,1780,2020,1780,2020,1960,1600,1960,3000
